,id,key,name,description,type,isSystem,attrs,projectId,createdAt,updatedAt,creator,updater
0,q9AgqkPW,gio_push_message_sent,消息发送,,counter,True,"[{'id': 'rRErY8PL', 'name': '触达推送通道', 'associatedAt': 1582628873449, 'key': 'gio_push_channel', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1582628873000, 'updatedAt': 1582628873000}, {'id': 'xogAKERm', 'name': '触达设备品牌', 'associatedAt': 1582628873503, 'key': 'gio_push_device_brand', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1582628873000, 'updatedAt': 1582628873000}, {'id': '3oLNAyRW', 'name': '触达推送名称', 'associatedAt': 1560910833154, 'key': 'gio_push_message_name', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1560910833000, 'updatedAt': 1573649352000}]",z98jGyZP,1560910833000,1582628873000,系统,项阳
1,Y9JpLaPz,gio_push_message_arrived,消息送达,,counter,True,"[{'id': 'rRErY8PL', 'name': '触达推送通道', 'associatedAt': 1582628873449, 'key': 'gio_push_channel', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1582628873000, 'updatedAt': 1582628873000}, {'id': 'xogAKERm', 'name': '触达设备品牌', 'associatedAt': 1582628873503, 'key': 'gio_push_device_brand', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1582628873000, 'updatedAt': 1582628873000}, {'id': '3oLNAyRW', 'name': '触达推送名称', 'associatedAt': 1561363472567, 'key': 'gio_push_message_name', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1560910833000, 'updatedAt': 1573649352000}]",z98jGyZP,1560910833000,1582628873000,系统,林生生
2,z98K4koa,gio_push_message_clicked,消息点击,,counter,True,"[{'id': 'rRErY8PL', 'name': '触达推送通道', 'associatedAt': 1582628873449, 'key': 'gio_push_channel', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1582628873000, 'updatedAt': 1582628873000}, {'id': 'xogAKERm', 'name': '触达设备品牌', 'associatedAt': 1582628873503, 'key': 'gio_push_device_brand', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1582628873000, 'updatedAt': 1582628873000}, {'id': '3oLNAyRW', 'name': '触达推送名称', 'associatedAt': 1560910833153, 'key': 'gio_push_message_name', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1560910833000, 'updatedAt': 1573649352000}]",z98jGyZP,1560910833000,1582628873000,系统,项阳
3,noqZMx9k,payOrderSuccess,订单支付成功,订单支付成功次数,counter,False,"[{'id': 'nPNLvD9W', 'name': '购买数量', 'associatedAt': 1572327631491, 'key': 'buyQuantity_var', 'type': 'Int', 'projectId': 'z98jGyZP', 'createdAt': 1550822373000, 'updatedAt': 1550822373000}, {'id': '4PYngMoM', 'name': '订单ID', 'associatedAt': 1572327631491, 'key': 'orderId_var', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1550822373000, 'updatedAt': 1550822373000}, {'id': 'QReW6joq', 'name': '支付金额', 'associatedAt': 1572327631491, 'key': 'payAmount_var', 'type': 'Double', 'projectId': 'z98jGyZP', 'createdAt': 1550822373000, 'updatedAt': 1550822373000}, {'id': 'nRb8pdo3', 'name': '支付方式', 'associatedAt': 1572327631491, 'key': 'paymentMethod_var', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1550822373000, 'updatedAt': 1567753005000}]",z98jGyZP,1550836646000,1572327631000,王颖,王颖
4,xogeQNRm,activityClick,商品活动点击,商品活动（商品合集）点击； 商品活动是指非单个商品的商品合集，例如首页Banner的活动,counter,False,"[{'id': 'noqVWv9k', 'name': '流量位', 'associatedAt': 1572327558713, 'key': 'floor_var', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1550822372000, 'updatedAt': 1550822372000}]",z98jGyZP,1572327558000,1572327558000,汪丽梅,汪丽梅
5,noqdzKPk,goodsClick,商品点击,商品点击次数,counter,False,"[{'id': 'noqVWv9k', 'name': '流量位', 'associatedAt': 1572327558728, 'key': 'floor_var', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1550822372000, 'updatedAt': 1550822372000}]",z98jGyZP,1572327558000,1572327558000,汪丽梅,汪丽梅
6,3oLrbwRW,goodsDetailPageView,浏览商品详情页,商品详情页浏览次数,counter,False,"[{'id': 'xogWjNom', 'name': '商品名称', 'associatedAt': 1572327558713, 'key': 'goodsName_var', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1559294410000, 'updatedAt': 1559294410000}, {'id': 'xogn7BPm', 'name': '商品ID', 'associatedAt': 1572327558713, 'key': 'productId_var', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1550822220000, 'updatedAt': 1550822220000}, {'id': 'xRxNjXo5', 'name': '商品名称 (1)', 'associatedAt': 1572327558713, 'key': 'productName_var', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1550822372000, 'updatedAt': 1550822372000}]",z98jGyZP,1550836744000,1572327558000,王颖,王颖
7,L9GxdQR6,addToBag,加入购物车,加入购物车次数,counter,False,[],z98jGyZP,1554824371000,1572327558000,常伟伟,常伟伟
8,bR7eK2oG,payOrder,订单支付,"支付订单次数。
用户点击订单支付时触发，一个订单发送一次事件。",counter,False,"[{'id': 'nPNLvD9W', 'name': '购买数量', 'associatedAt': 1571896066533, 'key': 'buyQuantity_var', 'type': 'Int', 'projectId': 'z98jGyZP', 'createdAt': 1550822373000, 'updatedAt': 1550822373000}, {'id': 'nP2ZGLPm', 'name': '是否首次下单', 'associatedAt': 1571896066533, 'key': 'isFirstOrder', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1571896046000, 'updatedAt': 1571896046000}, {'id': '4PYngMoM', 'name': '订单ID', 'associatedAt': 1571896066533, 'key': 'orderId_var', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1550822373000, 'updatedAt': 1550822373000}, {'id': 'QReW6joq', 'name': '支付金额', 'associatedAt': 1571896066533, 'key': 'payAmount_var', 'type': 'Double', 'projectId': 'z98jGyZP', 'createdAt': 1550822373000, 'updatedAt': 1550822373000}, {'id': 'nRb8pdo3', 'name': '支付方式', 'associatedAt': 1571896066533, 'key': 'paymentMethod_var', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1550822373000, 'updatedAt': 1567753005000}]",z98jGyZP,1550836745000,1571896066000,王颖,黄日超
9,5RpwJ29N,searchNoResultView,搜索无结果次数,用户搜索后返回结果是无结果,counter,False,"[{'id': 'a9amer9B', 'name': '搜索词', 'associatedAt': 1567569071571, 'key': 'searchWord_var', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1550822372000, 'updatedAt': 1550822372000}]",z98jGyZP,1550836744000,1567569071000,王颖,江鸥
